,datetime,Lat,Lon
169818,6/17/2014 15:52:00,40.7804,-73.9814
878477,9/7/2014 18:36:00,40.7174,-74.0145
740453,9/13/2014 21:00:00,40.6866,-73.9823
85148,6/7/2014 9:36:00,40.7217,-73.9934
701746,8/16/2014 18:36:00,40.8114,-73.9628
346403,4/3/2014 18:43:00,40.7506,-73.9767
264522,8/1/2014 22:55:00,40.805,-73.9504
562457,4/25/2014 19:09:00,40.72,-73.9941
64527,6/5/2014 7:06:00,40.7621,-73.9154
717557,9/10/2014 19:49:00,40.6432,-73.7895
562971,6/16/2014 6:59:00,40.7801,-73.9611
782124,7/31/2014 11:19:00,40.7985,-73.9732
360669,6/16/2014 8:26:00,40.7262,-74.0016
687955,7/17/2014 2:15:00,40.7121,-73.9513
508149,9/18/2014 20:44:00,40.694,-73.9623
550075,5/17/2014 19:39:00,40.7263,-74.009
323683,9/5/2014 5:35:00,40.7492,-73.9721
65115,6/5/2014 8:01:00,40.6829,-74.003
363712,7/12/2014 0:07:00,40.6961,-73.9678
984834,9/25/2014 15:07:00,40.6855,-73.9996
581846,5/22/2014 11:45:00,40.774,-73.9645
26671,6/25/2014 8:38:00,40.7644,-73.9789
244469,6/26/2014 19:36:00,40.7791,-73.9487
362514,8/9/2014 21:24:00,40.7574,-73.9844
546872,9/21/2014 18:51:00,40.6483,-73.7831
658561,7/12/2014 19:35:00,40.7553,-73.9724
499538,8/21/2014 21:11:00,40.6886,-73.9427
28905,5/23/2014 20:42:00,40.763000000000005,-73.9898
751736,7/26/2014 12:58:00,40.6876,-73.9864
361024,7/11/2014 20:08:00,40.8122,-73.9518
77121,4/9/2014 9:50:00,40.7244,-73.9835
481007,7/23/2014 0:46:00,40.7381,-73.9986
958851,9/21/2014 6:31:00,40.738,-74.0355
517619,7/25/2014 20:34:00,40.7277,-73.9915
858012,9/3/2014 15:19:00,40.744,-73.9839
113494,6/10/2014 20:13:00,40.7593,-73.9814
